Lp,Data dokonania wpisu,Postanowienie wzorca umowy uznane za niedozwolone,niedozwolone_regex
6602,22 IX 16,"""Sklep zastrzega sobie prawo do zmiany Regulaminu.Wszelkie zmiany Regulaminu obowiązują od daty opublikowania ich na stronie www.x-horse.com""","""Sklep zastrzega sobie prawo do zmiany.*Wszelkie zmiany Regulaminu obowiązują od daty opublikowania ich na stronie.*"""
6603,22 IX 16,"""W razie zwłoki w zapłacie wynagrodzenia Zamawiający zobowiązuje się zapłacić odsetki w wysokości 0,1% (słownie: jednej dziesiątej procenta) za każdy dzień zwłoki""","""W razie zwłoki w zapłacie wynagrodzenia Zamawiający zobowiązuje się zapłacić odsetki w wysokośc.*za każdy dzień zwłoki"""
6604,22 IX 16,"""Sądem właściwym dla rozpatrywania sporów wynikających z umowy jest sąd właściwy dla miejsca siedziby Sklepu""","""Sądem właściwym dla rozpatrywania sporów wynikających z umowy jest sąd właściwy dla miejsca siedziby Sklepu"""
6607,22 IX 16,"""W razie niezgodności towar z umową zakupione produkty należy niezwłocznie poinformować o tym obsługę sklepu (drogą elektroniczną lub telefoniczną) i odesłać na adres sprzedawcy w terminie 7 dni od daty otrzymania przesyłki""","""W razie niezgodności towar z umową zakupione produkty należy niezwłocznie poinformować o tym obsługę sklepu (drogą elektroniczną lub telefoniczną) i odesłać na adres sprzedawcy w terminie.*od daty otrzymania przesyłki"""
6608,23 IX 16,"""Sądem właściwym do rozpatrywania sporów jest właściwy rzeczowo Sąd dla miejsca siedziby Sprzedawcy""","""Sądem właściwym do rozpatrywania sporów jest właściwy rzeczowo Sąd dla miejsca siedziby Sprzedawcy"""
6609,23 IX 16,"""Sprawdzenie stanu przesyłki, przy odbiorze jest koniecznym warunkiem dla ewentualnych roszczeń Klienta z tytułu uszkodzenia lub kradzieży przesyłki lub jej części podczas transportu""","""Sprawdzenie stanu przesyłki, przy odbiorze jest koniecznym warunkiem dla ewentualnych roszczeń Klienta z tytułu uszkodzenia lub kradzieży przesyłki lub jej części podczas transportu"""
6610,23 IX 16,"""Cena sprzedaży ulegnie zmianie w przypadku (…) zmian cen katalogowych samochodu ustalanych przez importera (…)""","""Cena sprzedaży ulegnie zmianie w przypadku.*zmian cen katalogowych samochodu ustalanych przez importera.*”"
6611,23 IX 16,"""Nie będą rozpatrywane reklamacje dotyczące uszkodzeń mechanicznych powstałych podczas transportu""","""Nie będą rozpatrywane reklamacje dotyczące uszkodzeń mechanicznych powstałych podczas transportu"""
6612,23 IX 16,"""Za opóźnienie w dostawie, wynikłe z winy przewoźnika sklep nie odpowiada""","""Za opóźnienie.*z winy przewoźnika sklep nie odpowiada"""
6613,23 IX 16,"""Sądem właściwym dla rozpatrywania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby pozwanego""","""Sądem właściwym dla rozpatrywania sporów wynikających z umowy sprzedaży jest sąd właściwy dla siedziby pozwanego"""
6614,23 IX 16,"""Do zwracanego towaru należy dołączyć oryginalną fakturę lub paragon""","""Do zwracanego towaru należy dołączyć oryginalną fakturę lub paragon"""
6615,23 IX 16,"""Wszelkie spory wynikłe w związku z realizowaniem umów kupna - sprzedaży między sklepem, a konsumentami będą rozstrzygane w pierwszej kolejności na drodze negocjacji, z intencją polubownego zakończenia sporu. Jeśli jednak nie byłoby to możliwe lub też byłoby niesatysfakcjonujące dla którejkolwiek ze stron, wszelkie spory będą rozstrzygane przez sąd właściwy dla siedziby sprzedawcy""","""Wszelkie spory wynikłe w związku z realizowaniem umów kupna - sprzedaży między sklepem, a konsumentami będą rozstrzygane w pierwszej kolejności na drodze negocjacji, z intencją polubownego zakończenia sporu. Jeśli jednak nie byłoby to możliwe lub też byłoby niesatysfakcjonujące dla którejkolwiek ze stron, wszelkie spory będą rozstrzygane przez sąd właściwy dla siedziby sprzedawcy"""
6616,23 IX 16,"""W nadzwyczajnych okolicznościach uniemożliwających Sprzedawcy dostarczenie Kupującemu zamówionego samochodu, do dnia odbioru samochodu Sprzedawca może odstąpić od wykonania niniejszej Umowy, poprzez pisemne oświadczenie Sprzedawcy doręczone Kupującemu osobiście lub listem poleconym""","""W nadzwyczajnych okolicznościach uniemożliwających Sprzedawcy dostarczenie Kupującemu zamówionego samochodu, do dnia odbioru samochodu Sprzedawca może odstąpić od wykonania niniejszej Umowy, poprzez pisemne oświadczenie Sprzedawcy doręczone Kupującemu osobiście lub listem poleconym"""
6617,23 IX 16,"""Tylko na podstawie spisanego protokołu w momencie odbioru przesyłki możliwa jest wymiana uszkodzonych elementów""","""Tylko na podstawie spisanego protokołu w momencie odbioru przesyłki możliwa jest wymiana uszkodzonych elementów"""
6618,23 IX 16,"""Zwracany towar należy odesłać razem z otrzymaną wraz z nim paragonem lub fakturą z czytelnym podpisem i adnotacją na odwrocie paragonu lub faktury ""zwrot""…""","""Zwracany towar należy odesłać razem z otrzymaną wraz z nim paragonem lub fakturą z czytelnym podpisem i adnotacj.*"""
6619,23 IX 16,"""Postanowienia wstępne: Klient dokonujący zakupu w sklepie wyraża zgodę na przekazanie swojego adresu e-mail do Grupa Allegro Sp. z o.o z siedzibą w Poznaniu oraz na przetwarzanie przez sklep Ruszglowa.pl oraz Grupa Allegro Sp. z o.o. danych osobowych Klienta w celu wypełnienia ankiety z opinią o dokonanej transakcji w Sklepie Ruszglowa.pl (zgodnie z obowiązującymi przepisami ustawy o ochronie danych osobowych z dnia 29.08.1997).","""Postanowienia wstępne: Klient dokonujący zakupu w sklepie wyraża zgodę na przekazanie swojego adresu.* do.*oraz na przetwarzanie przez sklep.*danych osobowych Klienta w celu wypełnienia ankiety z opinią o dokonanej transakcji w.*”"
6620,23 IX 16,"""W sprawach nieuregulowanych powyższym dokumentem stosuje się odpowiedno przepisy Kodeksu Cywilnego. Sądem właściwym dla rozpatrywania sporów wynikających z umowy jest sąd właściwy dla miejsca siedziby sprzedawcy""","""W sprawach nieuregulowanych powyższym dokumentem stosuje się odpowiedno przepisy Kodeksu Cywilnego. Sądem właściwym dla rozpatrywania sporów wynikających z umowy jest sąd właściwy dla miejsca siedziby sprzedawcy"""
6621,23 IX 16,"""W tym celu Klient powinien odesłać towar w stanie nienaruszonym z przywieszonymi metkami (na własny koszt) na adres Sklep Gaba, 10-018 Olsztyn, ul. Staromiejska 12""""","""W tym celu Klient powinien odesłać towar w stanie nienaruszonym.*"""
6622,23 IX 16,"""W przypadku rezygnacji z odbioru towaru, bez wcześniejszego, poinformowania sklepu o rezygnacji z zakupu, kupujący zostanie obciążony kosztami manipualcyjnymi w kwocie 50 PLN netto""","""W przypadku rezygnacji z odbioru towaru, bez wcześniejszego, poinformowania sklepu o rezygnacji z zakupu, kupujący zostanie obciążony kosztami manipualcyjnymi w kwocie.*"""
6623,23 IX 16,"""Korzystamy z szybkiego i bezpiecznego systemu payU.pl. Nie odpowiadamy za szkody powstałe w wyniku nieprawidłowego przebiegu płatności, gdyż płatnościami zajmują się zewnętrzne firmy""",""".*Nie odpowiadamy za szkody powstałe w wyniku nieprawidłowego przebiegu płatności.*"""
6624,23 IX 16,"""W razie wątpliwości przyjmuje się, że umowa sprzedaży została zawarta z chwilą rozpoczęcia realizacji zamówienia""","""W razie wątpliwości przyjmuje się, że umowa sprzedaży została zawarta z chwilą rozpoczęcia realizacji zamówienia"""
6625,23 IX 16,"""Sklep nie ponosi odpowiedzialności za nieterminowe dostarczenie przesyłek pzez pocztę lub inne firmy kurierskie""","""Sklep nie ponosi odpowiedzialności za nieterminowe dostarczenie przesyłek pzez pocztę lub inne firmy kurierskie"""
6626,23 IX 16,"""Brak sporządzenia ""Protokołu Reklamacji"", o którym mowa powyżej, i przyjęcie przez Klienta przesyłki bez zastrzeżeń powoduje wygaśnięcie roszczeń z tytułu niekompletności przesyłki, niezgodności przesłanego towaru ze złożonym zamówieniem lub uszkodzenia mechanicznego towaru""","""Brak sporządzenia.*przesyłki bez zastrzeżeń powoduje wygaśnięcie roszczeń z tytułu niekompletności przesyłki, niezgodności przesłanego towaru ze złożonym zamówieniem lub uszkodzenia mechanicznego towaru"""
